Packed Pixel Data (Hex) - Intel Style - 4:2:0, 16-bit
Block (140,0): Cb=8 Cr=6 Y0=9b Y1=9e Y2=99 Y3=9c
Block (142,0): Cb=8 Cr=6 Y0=9f Y1=a1 Y2=9e Y3=a0
Block (144,0): Cb=8 Cr=6 Y0=a3 Y1=a5 Y2=a3 Y3=a5
Block (146,0): Cb=8 Cr=6 Y0=a5 Y1=a5 Y2=a5 Y3=a5
Block (148,0): Cb=8 Cr=6 Y0=a5 Y1=a5 Y2=a5 Y3=a5
Block (150,0): Cb=8 Cr=6 Y0=a5 Y1=a5 Y2=a5 Y3=a5
Block (152,0): Cb=7 Cr=6 Y0=a6 Y1=a4 Y2=a6 Y3=a4
Block (154,0): Cb=7 Cr=7 Y0=a8 Y1=a6 Y2=a8 Y3=a6
Block (156,0): Cb=7 Cr=7 Y0=a4 Y1=a3 Y2=a4 Y3=a3
Block (158,0): Cb=7 Cr=7 Y0=a0 Y1=9b Y2=a0 Y3=9b
Block (160,0): Cb=7 Cr=7 Y0=9a Y1=97 Y2=9a Y3=97
Block (162,0): Cb=7 Cr=7 Y0=94 Y1=91 Y2=94 Y3=91
Block (164,0): Cb=7 Cr=7 Y0=8e Y1=8b Y2=8e Y3=8b
Block (166,0): Cb=7 Cr=7 Y0=86 Y1=84 Y2=86 Y3=84
Block (168,0): Cb=7 Cr=7 Y0=82 Y1=7d Y2=82 Y3=7d
Block (170,0): Cb=6 Cr=8 Y0=7b Y1=7b Y2=7b Y3=7b
Block (172,0): Cb=6 Cr=8 Y0=7c Y1=80 Y2=7c Y3=80
Block (174,0): Cb=5 Cr=8 Y0=83 Y1=89 Y2=83 Y3=89
Block (176,0): Cb=6 Cr=8 Y0=93 Y1=a0 Y2=93 Y3=a0
Block (178,0): Cb=6 Cr=8 Y0=ab Y1=b3 Y2=ab Y3=b3
Block (180,0): Cb=6 Cr=8 Y0=b9 Y1=c0 Y2=b9 Y3=c0
Block (182,0): Cb=7 Cr=7 Y0=c6 Y1=ca Y2=c6 Y3=ca
Block (184,0): Cb=7 Cr=7 Y0=ca Y1=ce Y2=ca Y3=ce
Block (186,0): Cb=7 Cr=7 Y0=d3 Y1=d7 Y2=d3 Y3=d7
Block (188,0): Cb=7 Cr=7 Y0=da Y1=dd Y2=da Y3=dd
Block (190,0): Cb=7 Cr=7 Y0=df Y1=df Y2=df Y3=df
Block (192,0): Cb=7 Cr=7 Y0=e0 Y1=e2 Y2=e0 Y3=e2
Block (194,0): Cb=7 Cr=7 Y0=e2 Y1=e3 Y2=e2 Y3=e3
Block (196,0): Cb=7 Cr=7 Y0=e4 Y1=e5 Y2=e4 Y3=e5
Block (198,0): Cb=7 Cr=7 Y0=e6 Y1=e5 Y2=e6 Y3=e5
Block (200,0): Cb=7 Cr=7 Y0=e6 Y1=e9 Y2=e7 Y3=e9
Block (202,0): Cb=7 Cr=7 Y0=ea Y1=ea Y2=ea Y3=ea
Block (204,0): Cb=7 Cr=7 Y0=ea Y1=eb Y2=ea Y3=eb
Block (206,0): Cb=7 Cr=7 Y0=eb Y1=ec Y2=eb Y3=ec
Block (208,0): Cb=7 Cr=7 Y0=ed Y1=ed Y2=ed Y3=ed
Block (210,0): Cb=7 Cr=7 Y0=f0 Y1=f3 Y2=f0 Y3=f3
Block (212,0): Cb=8 Cr=7 Y0=f6 Y1=f7 Y2=f6 Y3=f7
Block (214,0): Cb=8 Cr=7 Y0=f7 Y1=f8 Y2=f7 Y3=f8
Block (216,0): Cb=8 Cr=7 Y0=f9 Y1=f9 Y2=f9 Y3=f9
Block (218,0): Cb=8 Cr=7 Y0=f8 Y1=f8 Y2=f8 Y3=f8
Block (220,0): Cb=8 Cr=7 Y0=f8 Y1=f8 Y2=f8 Y3=f8
Block (222,0): Cb=8 Cr=7 Y0=f7 Y1=f7 Y2=f7 Y3=f7
Block (224,0): Cb=8 Cr=7 Y0=f5 Y1=f4 Y2=f5 Y3=f4
Block (226,0): Cb=8 Cr=7 Y0=f2 Y1=f2 Y2=f2 Y3=f2
Block (228,0): Cb=8 Cr=7 Y0=f1 Y1=f1 Y2=f1 Y3=f1
Block (230,0): Cb=8 Cr=7 Y0=f1 Y1=f0 Y2=f1 Y3=f0
Block (232,0): Cb=8 Cr=7 Y0=f1 Y1=f1 Y2=f1 Y3=f1
Block (234,0): Cb=8 Cr=7 Y0=f3 Y1=f5 Y2=f3 Y3=f5
Block (236,0): Cb=8 Cr=7 Y0=f6 Y1=f7 Y2=f6 Y3=f7
Block (238,0): Cb=8 Cr=7 Y0=f7 Y1=f8 Y2=f7 Y3=f8
Block (240,0): Cb=8 Cr=7 Y0=f9 Y1=f9 Y2=f9 Y3=f9
Block (242,0): Cb=8 Cr=7 Y0=f8 Y1=f9 Y2=f8 Y3=f9
Block (244,0): Cb=8 Cr=7 Y0=fa Y1=f9 Y2=fa Y3=f9
Block (246,0): Cb=8 Cr=7 Y0=f8 Y1=f6 Y2=f8 Y3=f6
Block (248,0): Cb=8 Cr=7 Y0=f4 Y1=f3 Y2=f4 Y3=f3
Block (250,0): Cb=8 Cr=7 Y0=f0 Y1=ee Y2=f0 Y3=ee
Block (252,0): Cb=8 Cr=7 Y0=eb Y1=e7 Y2=eb Y3=e8
Block (254,0): Cb=8 Cr=7 Y0=e4 Y1=e2 Y2=e6 Y3=e2
Block (256,0): Cb=8 Cr=7 Y0=dd Y1=da Y2=dd Y3=db
Block (258,0): Cb=8 Cr=7 Y0=d7 Y1=d3 Y2=d8 Y3=d5
Block (260,0): Cb=8 Cr=7 Y0=cc Y1=c7 Y2=ce Y3=c7
Block (262,0): Cb=8 Cr=6 Y0=c1 Y1=b8 Y2=c1 Y3=b8
Block (264,0): Cb=7 Cr=6 Y0=ab Y1=9b Y2=ac Y3=9c
Block (266,0): Cb=6 Cr=7 Y0=8a Y1=7d Y2=8c Y3=78
Block (268,0): Cb=5 Cr=7 Y0=6d Y1=67 Y2=6a Y3=67
Block (270,0): Cb=5 Cr=7 Y0=66 Y1=65 Y2=66 Y3=65
Block (272,0): Cb=6 Cr=7 Y0=64 Y1=63 Y2=64 Y3=63
Block (274,0): Cb=6 Cr=7 Y0=62 Y1=60 Y2=62 Y3=60
Block (276,0): Cb=6 Cr=6 Y0=5f Y1=5e Y2=5f Y3=5f
Block (278,0): Cb=6 Cr=6 Y0=5d Y1=5c Y2=5e Y3=5c
Block (280,0): Cb=6 Cr=6 Y0=5c Y1=5d Y2=5c Y3=5d
Block (282,0): Cb=7 Cr=6 Y0=5e Y1=5f Y2=5e Y3=5f
Block (284,0): Cb=7 Cr=6 Y0=5f Y1=60 Y2=5f Y3=60
Block (286,0): Cb=7 Cr=6 Y0=60 Y1=63 Y2=60 Y3=63
Block (288,0): Cb=7 Cr=6 Y0=64 Y1=64 Y2=64 Y3=64
Block (290,0): Cb=7 Cr=6 Y0=66 Y1=69 Y2=65 Y3=68
Block (292,0): Cb=7 Cr=6 Y0=6b Y1=6d Y2=6a Y3=6d
Block (294,0): Cb=7 Cr=6 Y0=70 Y1=74 Y2=6f Y3=70
